MiePlot v4.6.19

Date & Time: 5/9/2021 10:13:21 PM 

Calculation Method:         Mie (plane wave)

Graph type: Qext/Qsca/Qabs v. wavelength

Nominal radius = 0.01 um
Distribution: Log-normal
Standard deviation (%) = 10
Number of samples = 20

 1 	 0.01006188200527 
 2 	 1.01877970414019E-02 
 3 	 1.03184441436534E-02 
 4 	 1.04565279790083E-02 
 5 	 1.06057157864689E-02 
 6 	 1.07714947940031E-02 
 7 	 1.09630498788267E-02 
 8 	 1.11982466683167E-02 
 9 	 0.011521408527464 
 10 	 1.21266696886339E-02 
 11 	 9.93849857786283E-03 
 12 	 9.81566472060767E-03 
 13 	 9.69138356595241E-03 
 14 	 9.56340385649537E-03 
 15 	 9.42887797611762E-03 
 16 	 9.28376255222016E-03 
 17 	 9.12154930473618E-03 
 18 	 8.92996939270244E-03 
 19 	 8.67949433106431E-03 
 20 	 8.24628711489754E-03 


Radius: 0.01 um

Wavelength (nm)	RI (Real + Imag)		Medium RI	Qext	Qsca	Qabs
 400 	 0 	 0 	 0 	 0.753788853894687 	 7.10756607080566E-03 	 0.746681287823881 
 400.277355 	 0 	 0 	 0 	 0.753304474575624 	 7.08913556442972E-03 	 0.746215339011194 
 400.554902 	 0 	 0 	 0 	 0.752820581963819 	 7.07075507215201E-03 	 0.745749826891667 
 400.832642 	 0 	 0 	 0 	 0.752337175397032 	 7.05242445253307E-03 	 0.745284750944499 
 401.110574 	 0 	 0 	 0 	 0.751854229501533 	 7.03414316325111E-03 	 0.744820086338282 
 401.388699 	 0 	 0 	 0 	 0.751371780712154 	 7.01591166715264E-03 	 0.744355869045002 
 401.667017 	 0 	 0 	 0 	 0.750889803665976 	 6.99772942324009E-03 	 0.743892074242736 
 401.945528 	 0 	 0 	 0 	 0.750408297731066 	 6.97959629322631E-03 	 0.74342870143784 
 402.224232 	 0 	 0 	 0 	 0.749927274598117 	 6.96151233787414E-03 	 0.742965762260243 
 402.503129 	 0 	 0 	 0 	 0.749446721298352 	 6.9434772200599E-03 	 0.742503244078292 
 402.78222 	 0 	 0 	 0 	 0.748966649507246 	 6.9254910003597E-03 	 0.742041158506886 
 403.061504 	 0 	 0 	 0 	 0.748487046275426 	 6.90755334345233E-03 	 0.741579492931973 
 403.340982 	 0 	 0 	 0 	 0.748007923263171 	 6.88966430972749E-03 	 0.741118258953443 
 403.620654 	 0 	 0 	 0 	 0.747529267540474 	 6.87182356565627E-03 	 0.740657443974817 
 403.900519 	 0 	 0 	 0 	 0.747051090752442 	 6.85403117144234E-03 	 0.740197059581 
 404.180579 	 0 	 0 	 0 	 0.746573379988396 	 6.83628679533899E-03 	 0.739737093193057 
 404.460832 	 0 	 0 	 0 	 0.746096134625699 	 6.81859030265873E-03 	 0.73927754432304 
 404.74128 	 0 	 0 	 0 	 0.745619378530745 	 6.80094194754353E-03 	 0.738818436583201 
 405.021923 	 0 	 0 	 0 	 0.745143086560586 	 6.78334120570952E-03 	 0.738359745354877 
 405.30276 	 0 	 0 	 0 	 0.744667258095671 	 6.76578794364992E-03 	 0.737901470152021 
 405.583792 	 0 	 0 	 0 	 0.744191904735742 	 6.74828222101242E-03 	 0.73744362251473 
 405.865019 	 0 	 0 	 0 	 0.74371701362786 	 6.73082371133699E-03 	 0.736986189916523 
 406.14644 	 0 	 0 	 0 	 0.743242596356694 	 6.71341247408672E-03 	 0.736529183882607 
 406.428057 	 0 	 0 	 0 	 0.74276865228111 	 6.69604837586858E-03 	 0.736072603905241 
 406.709869 	 0 	 0 	 0 	 0.742295168576922 	 6.67873109283439E-03 	 0.735616437484088 
 406.991877 	 0 	 0 	 0 	 0.741822144630673 	 6.66146049380291E-03 	 0.73516068413687 
 407.27408 	 0 	 0 	 0 	 0.741349591996954 	 6.64423663786913E-03 	 0.734705355359085 
 407.556479 	 0 	 0 	 0 	 0.740877510038765 	 6.62705939319146E-03 	 0.734250450645574 
 407.839073 	 0 	 0 	 0 	 0.740405885970109 	 6.60992843936751E-03 	 0.733795957530742 
 408.121864 	 0 	 0 	 0 	 0.739934731323094 	 6.59284383521899E-03 	 0.733341887487875 
 408.40485 	 0 	 0 	 0 	 0.739464045463813 	 6.5758054500575E-03 	 0.732888240013756 
 408.688033 	 0 	 0 	 0 	 0.738993815634821 	 6.55881296604142E-03 	 0.73243500266878 
 408.971412 	 0 	 0 	 0 	 0.738524041229699 	 6.54186625465151E-03 	 0.731982174975047 
 409.254988 	 0 	 0 	 0 	 0.738054745858275 	 6.52496556094579E-03 	 0.73152978029733 
 409.53876 	 0 	 0 	 0 	 0.737585892567828 	 6.50811019594902E-03 	 0.731077782371879 
 409.822729 	 0 	 0 	 0 	 0.737117517052457 	 6.49130059067593E-03 	 0.730626216461781 
 410.106895 	 0 	 0 	 0 	 0.736649594494476 	 6.47453624490198E-03 	 0.730175058249574 
 410.391258 	 0 	 0 	 0 	 0.736182136366288 	 6.45781721672294E-03 	 0.729724319149565 
 410.675818 	 0 	 0 	 0 	 0.735715129976726 	 6.44114319418644E-03 	 0.729273986782539 
 410.960576 	 0 	 0 	 0 	 0.735248586783319 	 6.42451423520673E-03 	 0.728824072548112 
 411.245531 	 0 	 0 	 0 	 0.734782494113747 	 6.40793002949234E-03 	 0.728374564084255 
 411.530683 	 0 	 0 	 0 	 0.734316863410691 	 6.39139063477641E-03 	 0.727925472775915 
 411.816033 	 0 	 0 	 0 	 0.733851694052429 	 6.3748959248759E-03 	 0.727476798127553 
 412.101581 	 0 	 0 	 0 	 0.733386973394849 	 6.35844559197497E-03 	 0.727028527802874 
 412.387328 	 0 	 0 	 0 	 0.732922724873434 	 6.34203987508665E-03 	 0.726580684998347 
 412.673272 	 0 	 0 	 0 	 0.732458911824417 	 6.32567810448262E-03 	 0.726133233719934 
 412.959414 	 0 	 0 	 0 	 0.731995569675148 	 6.30936070009501E-03 	 0.725686208975053 
 413.245755 	 0 	 0 	 0 	 0.731532673803991 	 6.29308717582869E-03 	 0.725239586628163 
 413.532294 	 0 	 0 	 0 	 0.731055811755906 	 6.27571632847914E-03 	 0.724780095427426 
 413.819033 	 0 	 0 	 0 	 0.730573254353651 	 6.25790454926881E-03 	 0.724315349804382 
 414.10597 	 0 	 0 	 0 	 0.730091194617734 	 6.24014418442029E-03 	 0.723851050433314 
 414.393105 	 0 	 0 	 0 	 0.729609631809608 	 0.006222435082157 	 0.723387196727451 
