TITLE	AuNP-gruppo7
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/06
TIME	16:42:36
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  850.0000
LASTX	  400.0000
NPOINTS	     451
FIRSTY	     0.01243
MAXY	     0.81365
MINY	     0.01243
XYDATA
850.0000	0.0124259
849.0000	0.0124999
848.0000	0.0126082
847.0000	0.0125966
846.0000	0.0126137
845.0000	0.0127214
844.0000	0.0128851
843.0000	0.0129418
842.0000	0.0130155
841.0000	0.0130476
840.0000	0.0130189
839.0000	0.0130764
838.0000	0.0131931
837.0000	0.0132759
836.0000	0.0132706
835.0000	0.0133139
834.0000	0.0133638
833.0000	0.0134176
832.0000	0.0135316
831.0000	0.0136584
830.0000	0.0138046
829.0000	0.0139157
828.0000	0.0139038
827.0000	0.0139479
826.0000	0.014073
825.0000	0.0141924
824.0000	0.0142562
823.0000	0.0143438
822.0000	0.0143614
821.0000	0.0144628
820.0000	0.0145935
819.0000	0.014648
818.0000	0.014816
817.0000	0.0149395
816.0000	0.0149975
815.0000	0.0150389
814.0000	0.0151194
813.0000	0.0151412
812.0000	0.0152674
811.0000	0.0154273
810.0000	0.01556
809.0000	0.0156864
808.0000	0.0158326
807.0000	0.015954
806.0000	0.016145
805.0000	0.0162278
804.0000	0.0163157
803.0000	0.0164338
802.0000	0.0165324
801.0000	0.0166277
800.0000	0.0167846
799.0000	0.0169636
798.0000	0.0170784
797.0000	0.0172116
796.0000	0.0173796
795.0000	0.017507
794.0000	0.0176084
793.0000	0.0177245
792.0000	0.0178625
791.0000	0.0179618
790.0000	0.018059
789.0000	0.0181836
788.0000	0.0182647
787.0000	0.0184024
786.0000	0.018521
785.0000	0.0186727
784.0000	0.0187725
783.0000	0.0188714
782.0000	0.0190219
781.0000	0.0191124
780.0000	0.0192405
779.0000	0.0193332
778.0000	0.0194865
777.0000	0.0196103
776.0000	0.0197581
775.0000	0.0199229
774.0000	0.0201244
773.0000	0.020275
772.0000	0.0204891
771.0000	0.0206601
770.0000	0.0208512
769.0000	0.0210014
768.0000	0.0211938
767.0000	0.0213884
766.0000	0.0215577
765.0000	0.0217941
764.0000	0.0219585
763.0000	0.0221457
762.0000	0.022355
761.0000	0.0225458
760.0000	0.0227636
759.0000	0.0229449
758.0000	0.0230793
757.0000	0.0232554
756.0000	0.0234337
755.0000	0.023588
754.0000	0.0237519
753.0000	0.0239837
752.0000	0.0241614
751.0000	0.0243633
750.0000	0.0245998
749.0000	0.0247907
748.0000	0.0250357
747.0000	0.0252829
746.0000	0.0254848
745.0000	0.0257102
744.0000	0.0259445
743.0000	0.0261688
742.0000	0.0264502
741.0000	0.0267204
740.0000	0.0267193
